Task name,Status,Assignee,Finished,Priority,Tags,Project,Parent-task,Sub-tasks
Bug: Users Cannot View participation-request contests,Done,Caleb Early,,,,5 - June 26 - July 10 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/5%20-%20June%2026%20-%20July%2010%20e44d54d69e034f9e8fcbee6bc722fc45.csv),,
Fix searching by page in SearchContests,Done,Caleb Early,"July 22, 2023",,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Fix Text Overflow in Profile Page,Done,Tate Martin,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Invite Contestants,Done,,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Accept/Deny Invitation to Contest,Done,Caleb Early,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Accept/Deny Invitation to Judge,Done,,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Submit TextUpload,Done,Caleb Early,"July 23, 2023",,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Submit SingleFileUpload for mission submission,Done,,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Fix Pending Requests List,Done,Caleb Early,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Fix Pending Requests (Select Functionality),Done,Caleb Early,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Fix Request to Join Contest,Done,Caleb Early,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Make Search Contests Page More User Friendly,Done,Caleb Early,"July 22, 2023",,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Fix Long Named Contests in Search Contests,Done,Caleb Early,"July 22, 2023",,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
View Options in Search Contests,Done,,,,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Update Invite Judge to Mission To New Endpoint,Done,Caleb Early,"July 23, 2023",,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Fix list of Judges Showing [Object object],Done,Caleb Early,"July 23, 2023",,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Delete Mission,Done,Caleb Early,"July 24, 2023",,,6 - July 10 - July 24 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/6%20-%20July%2010%20-%20July%2024%201c1fcc442062462699b87051203a242b.csv),,
Prompt To Confirm If you Want to Log Out,Done,Caleb Early,,,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Make “Go to Top” button be universal across site,Done,Caleb Early,"July 26, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Fix generated header to be more modular,Done,Caleb Early,"July 26, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Make active page on header move to correct page,Done,Caleb Early,"July 26, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Bug: View Mission on Mobile Doesn’t Scroll,Done,Caleb Early,"July 26, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Fix “Go to Top” Button to go all the way to the top,Done,Caleb Early,"July 26, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Notification Toasts,Done,Paul Bauer,"July 26, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Fix Primary Nav being below view mission,Done,Caleb Early,"July 26, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
